"","Exports (% of gdp)","female employment rate (%)","foreign investment (% of gdp)","gnipercapita ppp (USD)","cell phones (per 100 people)","c02 emmissions per person (tonnes)","electricity use per person","children per women","dtp3 immunization (% of 1 year olds)","newborn mortality rate (per 1000)","Group"
"netherlands",80.6,53.3,13.2,48700,115,9.41,6710,1.76,96,2.4,"H"
"new zealand",28,59.1,1.62,35800,113,7.81,9010,2.03,93,3.2,"H"
"nicaragua",45,46.3,9.06,4700,114,0.749,562,2.26,98,10.3,"LM"
"niger",15.9,60.8,7.58,1190,42.5,0.107,50.8,7.34,81,27.3,"L"
"north macedonia",47.7,31.4,0.536,13200,106,3.63,3510,1.51,95,3.8,"UM"
"norway",39.7,59.4,0.646,68400,112,8.74,23000,1.87,93,1.6,"H"
"oman",61.4,26.1,1.39,42500,154,15,6470,2.8,99,5.3,"H"
"pakistan",11.2,22.5,0.695,4350,65.2,0.915,420,3.62,69,46.6,"LM"
"panama",55.4,47.8,9.98,21800,178,2.78,2070,2.57,80,9.9,"UM"
"paraguay",35.5,52.2,2.21,11900,120,0.828,1680,2.54,93,11.4,"UM"
"peru",22.6,67.5,2.12,10900,105,1.67,1330,2.46,88,8.6,"UM"
"philippines",27.4,47.7,1.93,7700,110,1.02,691,2.99,67,12.9,"LM"
"poland",46.5,44.3,3.79,24400,147,8.11,3970,1.32,98,3.2,"H"
"portugal",40.2,46.1,5.24,28100,114,4.61,4660,1.26,98,2,"H"
"qatar",68,56.8,0.504,137000,149,43.1,16400,1.95,89,4,"H"
"romania",41.5,43.3,1.94,20500,115,3.87,2580,1.5,94,6.5,"UM"
"russia",27.1,53,1.07,24900,153,11.2,6600,1.7,97,5.2,"H"
"saudi arabia",46.2,16.3,1.05,55500,164,19.5,9050,2.64,98,8.2,"H"
"senegal",21.8,31.6,2.04,2820,103,0.623,233,4.9,89,21.5,"LM"
"serbia",42.1,35.4,4.25,14100,131,4.18,4270,1.6,93,4.3,"UM"
"singapore",192,58.9,21.8,81500,145,10.3,8840,1.25,96,1.1,"H"
"slovenia",76.2,46.8,2.04,30600,112,6.55,6730,1.6,95,1.5,"H"
"south africa",29,34.5,1.52,13200,145,8.86,4180,2.51,85,11.1,"UM"
"south korea",47.8,49.6,0.625,35500,113,11.6,10500,1.26,99,1.7,"H"
"south sudan",38.4,61,0.00742,1210,25.6,0.146,41,5.02,50,40.1,"L"
"spain",33.5,39.3,2.4,33400,109,5.45,5360,1.34,97,2.8,"H"
"sudan",7.61,19.8,1.63,4460,75.1,0.407,264,4.66,94,30.4,"LM"
"switzerland",65.3,58.9,2.89,63400,136,4.78,7520,1.54,96,2.8,"H"
"tajikistan",9.17,29,3.58,4060,96.1,0.545,1490,3.44,97,20.9,"LM"
"tanzania",18.1,77.7,2.83,2180,62.7,0.225,102,5.15,97,19.3,"L"
"thailand",68.4,61.1,1.22,14400,139,4.07,2480,1.51,99,7,"UM"
"togo",29.1,54.8,0.845,1830,62,0.305,151,4.59,84,27.2,"L"
"tunisia",42.9,20,2.04,10300,125,2.52,1410,2.23,94,8.5,"UM"
"turkey",25.2,26.7,1.42,23900,92,4.69,2850,2.09,96,7.5,"UM"
"turkmenistan",46.8,44.1,8.8,11800,127,12.5,2590,2.96,98,23.2,"UM"
"ukraine",48.6,43.6,0.634,10600,144,5.71,3420,1.51,23,5.7,"LM"
"united arab emirates",96.9,46.9,2.67,79000,190,24.2,11600,1.78,99,3.6,"H"
"united kingdom",28.6,53.3,1.92,40500,121,6.71,5130,1.88,95,2.5,"H"
"united states",13.5,52.7,1.44,56700,100,17.5,13000,1.95,95,3.7,"H"
"uruguay",23.5,51.3,6.64,20300,162,1.96,3090,2.02,95,5.3,"H"
"uzbekistan",16,47.5,1,6580,71.1,3.44,1650,2.34,99,20.9,"LM"
"vietnam",69.6,72.5,3.94,6970,149,1.75,1430,1.96,95,11.7,"LM"
"zambia",38.8,63.4,5.56,3390,64.3,0.277,702,5.1,86,22,"LM"
"zimbabwe",20.9,73.1,2.43,2270,85.2,0.881,597,3.9,91,23.9,"L"
